"doc_title","doc_link","geschaeftstitel","geschaeftsnummer"
"Botschaft vom 30.10.2012 (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Entwurf Regierungsrat (12/BS 29/283)","https://archivportal.tg.ch/","Beschluss des Grossen Rates betreffend individuelle, leistungsbezogenen Lohnanpassung (§§ 11 und 35 BVO, §§ 2, 4 und 11 LBV)","12/BS 30/283"
"Botschaft Büro vom 15.06.2015 (12/VO 7/377)","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"Entwurf Büro (Entschädigung) (12/VO 7/377)","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"Kommissionsbericht vom 03.12.2015","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"Synopse (GOGR) (12/VO 7/377)","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"2. Lesung vom 24.02.2016","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"Schlussfassung","https://archivportal.tg.ch/","Änderung der Geschäftsordnung des Grossen Rates des Kantons Thurgau vom 22. März 2000","12/VO 7/377"
"Beilage zur Botschaft: Gewinnverteilung nach aktuellem TKB-Gesetz (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Beilage zur Botschaft: Szenarien Gewinnverwendung mit PS (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Kommissionsbericht vom 18.02.2013 (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Beilage zum Kommissionsbericht: Änderung des Gesetzes über die TKB (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Beilage zum Kommissionsbericht: Schema Verbuchung Wandlung PS TKB (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
"Beilage zum Kommissionsbericht: Anpassung TKB Gesetz / TKB Partizipationsschein (12/GE 4/56)","https://archivportal.tg.ch/","Änderung des Gesetzes über die Thurgauer Kantonalbank und Anpassung des Grundkapitals","12/GE 4/56"
