"nr","name","vorname","fraktion","funktion","beschreibung","dauer"
"245","Bartel","Rudolf","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Gastro Thurgau: Vorstand, Präsident; Gastro Social Pensionskasse, Aarau: Stiftungsrat, Mitglied.","01.01.2025 -"
"245","Bartel","Rudolf","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Gemeinde Bichelsee-Balterswil: Kommission Rechnungsrevisoren, Präsident","01.01.2025 -"
"25","Forrer","Roger","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Schulstiftung Glarisegg, Steckborn: Verwaltungsrat, Präsident; SpitexTG: Betriebskommission, Präsident; Alters- und Plegeheim Steckborn: Betriebskommission, Präsident.","01.01.2025 -"
"403","Giger-Lehmann","Renate","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Immobilien- und Baumesse Immozionale Thurgau: Messeleiterin. R & R. Giger AG, Münsterlingen: Verwaltungsrat. Abwasserzweckverband Münsterlingen: Mitglied, Vorstand. Wohnbaugenossenschaft Teupelacker, Landschlacht: Mitglied, Vorstand. Wohnbaugenossenschaft Manau, Landschlacht: Mitglied, RPK. Gemeinde Münsterlingen: Mitglied, RPK","01.01.2025 -"
"403","Giger-Lehmann","Renate","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","GLP Bezirk Kreuzlingen: Mitglied, Vorstand, Kassierin","01.01.2025 -"
"344","Müller-Altwegg","Isabelle","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SVP Thurgau: Geschäftsleitung, Kassierin","01.01.2025 -"
"77","Nägeli","Willy","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","EKT Holding AG, Arbon: Verwaltungsrat, Vizepräsident.","01.01.2025 -"
"351","Wenger","Andreas","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Gemeinschafts-Antennenanlage Diessenhofen AG, DAG Diessenhofen: Verwaltungsrat, Mitglied.","01.01.2025 -"
"351","Wenger","Andreas","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Diessenhofen: Vize-Stadtpräsident, Stadtrat","01.01.2025 -"
"364","Merz-Helg","Petra","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","jung & aktiv: Vorstand, Mitglied.","01.01.2025 -"
"364","Merz-Helg","Petra","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtparlament, Mitglied; JCVP Thurgau: Vorstand, Vizepräsidentin","01.01.2025 -"
"372","Schäfer","Jorim","GLP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Bischofszell: Stadtrat, Mitglied; VTG Weinfelden: Sportkommission, Mitglied; Kulthurpool Aach-Sitter-Thur: Vorstand, Präsident; GLP Bischofszell und Umgebung: Vorstand, Präsident; GLP Kanton TG: Delegierter","01.01.2025 -"
"6","Baumann","Kurt","SVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Zweckverband Abfallverwertung ZAB, Bazenheid: Verwaltungsrat, Präsident; Murgstiftung, Littenheid: Stiftungsrat, Mitglied; Sortierwerk Bazenheid AG Sobag, Bazenheid: Verwaltungsrat, Mitglied; RBI Management AG, Müllheim: Verwaltungsrat, Mitglied","01.01.2025 -"
"6","Baumann","Kurt","SVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Kommission Thurgau Gesundheit: Vorstand, Mitglied","01.01.2025 -"
"70","Müller","Gallus","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Müller Bauingenieur AG, Guntershausen: Verwaltungsrat, Präsident.","01.01.2025 -"
"70","Müller","Gallus","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","CVP Thurgau: Vorstand, Präsident; CVP Aadorf: Vorstand, Präsident","01.01.2025 -"
"389","Hanhart-Hugentobler","Erika","GRÜNE","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Grüne Partei Schweiz, Vorstand, Mitglied; Grüne Partei Thurgau, Vorstand Mitglied.","01.01.2025 -"
"277","Zürcher","Katharina","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Lungenliga TG, Weinfelden: Vorstand, Mitglied.","01.01.2025 -"
"252","Fisch","Ueli","GLP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Wederundgut AG, Frauenfeld: Verwaltungsrat, Mitglied; fischtextiles gmbh, Frauenfeld: Geschäftsleitung, Geschäftsführer;  USF Holding AG, Winterthur: Verwaltungsrat, Präsident; Wenatex AG, Uster: Verwaltungsrat, Mitglied.","01.01.2025 -"
"216","Kappeler","Toni","GRÜNE","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Pro Natura TG, Münchwilen: Vorstand, Präsident.","01.01.2025 -"
"118","Vögeli","Max","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","KVA Thurgau, Weinfelden: Verwaltungsrat, Mitglied; Technische Betriebe Weinfelden AG: Verwaltungsrat, Mitglied; Abwasserverband Mittelthurgau: Verwaltungsrat, Präsident; Pro Senectute Thurgau: Stiftungsrat, Mitglied; Stiftung Zentrum für Musik und Tanz, Weinfelden: Stiftungsrat, Mitglied; Messen Weinfelden: Verwaltungsrat, Mitglied; Abraxas Informatik AG, St. Gallen: Verwaltungsrat, Mitglied.","01.01.2025 -"
"118","Vögeli","Max","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","PG Weinfelden: Stadtpräsident","01.01.2025 -"
"320","Schläfli","Nina","SP und Gew.","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","SP Thurgau: Vorstand, Präsidentin; Kantonsschule Romanshorn: Beirat, Mitglied; Kulturkommission Kreuzlingen: Mitglied.","01.01.2025 -"
"326","Zecchinel","Cornelia","FDP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Agromarketing Thurgau AG, Salenstein: Verwaltungsrat, Mitglied; Zecchinel Immobilien AG, Tägerwilen: Verwaltungsrat, Mitglied; Bürgergemeinde Kreuzlingen: Verwaltungsrat, Präsidentin; Pro Forst, Kreuzlingen: Vorstand, Mitglied; Revierkörperschaft Kreuzlingen: Vorstand, Mitglied; SRG Ostschweiz, St. Gallen: Vorstand, Mitglied.","01.01.2025 -"
"326","Zecchinel","Cornelia","FDP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","Kulturkommission Kanton Thurgau: Mitglied","01.01.2025 -"
"294","Haller","Hansjörg","Die Mitte/EVP","Tätigkeit in Führungs- und Aufsichtsgremien in- und ausländischer Unternehmen, Anstalten, Stiftungen des privaten und öffentlichen Rechtes","Verein Mülibach, Dussnang: Vorstand, int. Aufsicht.","01.01.2025 -"
"294","Haller","Hansjörg","Die Mitte/EVP","Ausübung wichtiger politischer Ämter (ausserhalb des Grossen Rates)","EVP Schweiz: Vorstand, Mitglied","01.01.2025 -"
