"kommission_id","start","end","gremium","gremiumstyp","nr","name","vorname","funktion","fraktion"
"bd2b2be7965644fe8136016962604fe2",2013-02-01,2020-05-20,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","2","Aerne","Margrit","Mitglied","SVP"
"8f080036e5dd4558825bdcc65ff4eeef",2022-01-24,2022-09-15,"Kommission zur Vorberatung des Berichts \"Regulierungsbremse\"","Spezialkommission","331","Arnold","Josef","Mitglied","SVP"
"7f128589bd64447bbb820565a78db802",2016-06-01,2024-05-22,"Raumplanungskommission","Ständige Kommission","6","Baumann","Kurt","Mitglied","SVP"
"be3847678f964e3199b16ea622c44dbf",2016-06-01,2020-05-20,"Raumplanungskommission","Ständige Kommission","224","Bon","David H.","Mitglied","FDP"
"8be221b035924d318045ef37b1ba4360",2020-05-20,2020-07-01,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"505a4edf9a814ad5a84ee0e667a218a7",2021-05-27,2023-01-01,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"b156dd30b2cd463ea42f34601b9b95b0",2021-05-26,2023-01-01,"GFK Subkommission DIV","Ständige Kommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"2cd92c219ab1438ab574246e5c602da2",2021-08-25,2023-01-01,"GFK Subkommission TKB (DFS/DIV)","Ständige Kommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"7e0f57eefc2d483f8262546ac09b4bfb",2023-10-23,2024-08-15,"Kommission Parlamentarische Initiative \"Keine Discountbussen bei Littering\"","Spezialkommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"93d6c9705b7a4d05b5dc259a1abb0471",2024-05-22,9999-12-31,"Gesetzgebungs- und Redaktionskommission","Ständige Kommission","354","Braun","Bernhard","Mitglied","GRÜNE"
"47c80c5c140047dfa6df3c0118f04436",2026-03-18,9999-12-31,"Kommission für Klima, Energie und Umwelt","Ständige Kommission","411","Brenner","Martin","Mitglied","FDP"
"c008e13bb3804747952627244162933e",2008-05-28,2016-06-01,"Justizkommission","Ständige Kommission","14","Brunner","Max","Mitglied","SVP"
"f6884be2fbfb4062a772d433fc7cfe9e",2024-05-22,9999-12-31,"Kommission für Klima, Energie und Umwelt","Ständige Kommission","408","Brüllmann","Markus","Mitglied","SP und Gew."
"a7657bbd018c49239dc48c5b34af047a",2020-05-20,2022-10-06,"Raumplanungskommission","Ständige Kommission","15","Bär","Rudolf","Mitglied","Die Mitte/EVP"
"9a756dab01364205a4d8ab282b6ba581",2019-05-22,2020-05-20,"Gesetzgebungs- und Redaktionskommission","Ständige Kommission","338","Bétrisey","Karin","Beobachter/-in","GRÜNE"
"8954724739e549b398105607e00d08ef",2020-05-20,2021-01-28,"Gesetzgebungs- und Redaktionskommission","Ständige Kommission","338","Bétrisey","Karin","Mitglied","GRÜNE"
"62dcef758c1d4c45abe991b15a1596b9",2021-01-27,2024-05-22,"Raumplanungskommission","Ständige Kommission","338","Bétrisey","Karin","Mitglied","GRÜNE"
"c2222bd8b9304a1b916f3fcb15c82901",2021-07-07,2024-05-22,"Referat Kommissionensystem","Spezialkommission","338","Bétrisey","Karin","Mitglied","GRÜNE"
"d4dcddd5a5e441dc88dafe24e3356d1f",2024-05-22,9999-12-31,"Kommission für Klima, Energie und Umwelt","Ständige Kommission","338","Bétrisey","Karin","Mitglied","GRÜNE"
"0e8d4d9318a74f1aa833dca7dd2226eb",2023-07-06,2024-05-22,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","399","Büchi","Cornelia","Mitglied","SVP"
"85da84cffef94b55b0cfbe291cf8db4a",2023-07-06,2024-05-22,"GFK Subkommission GVTG (DBU/DJS)","Ständige Kommission","399","Büchi","Cornelia","Mitglied","SVP"
"17675480c7034e2d935687e51d47083d",2023-07-06,2024-05-22,"GFK Subkommission DBU","Ständige Kommission","399","Büchi","Cornelia","Mitglied","SVP"
"8f5e910f16d54edd867481232a4bb2f0",2023-12-06,2024-11-26,"Kommission zur Vorberatung der Kantonalen VI \"Thurgauer Solarinitiative\"","Spezialkommission","399","Büchi","Cornelia","Mitglied","SVP"
"6bc415e233a74d7ead371fbfeb36c7f7",2024-05-22,9999-12-31,"Justizkommission","Ständige Kommission","399","Büchi","Cornelia","Mitglied","SVP"
"0fd7dd35382f4ba19dde918b22aa6763",2024-05-22,9999-12-31,"Kommission für Klima, Energie und Umwelt","Ständige Kommission","399","Büchi","Cornelia","Mitglied","SVP"
"f749e8dd272645efbc7db38b381c6dfb",2020-05-20,2022-10-05,"Gesetzgebungs- und Redaktionskommission","Ständige Kommission","329","Bünter","Katharina","Mitglied","Die Mitte/EVP"
"aa9ed7187ec7422ab1f309c72403d95b",2018-08-15,2020-05-20,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","306","Diezi","Dominik","Mitglied","Die Mitte/EVP"
"4245b68b674b4ab0a9d79d44ee5324e7",2020-05-20,2022-06-01,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","306","Diezi","Dominik","Präsidium","Die Mitte/EVP"
"d4c79053ff1b4c09ae82ebd9b203d1a1",2014-06-01,2018-08-16,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","249","Dransfeld","Peter","Mitglied","GRÜNE"
"a76eba83279b48c7ac7d3d27d41dbc2e",2023-12-06,2024-11-26,"Kommission zur Vorberatung der Kantonalen VI \"Thurgauer Solarinitiative\"","Spezialkommission","249","Dransfeld","Peter","Mitglied","GRÜNE"
"73dd6544a2c64fb48db5f4d8dbac6cf3",2018-08-15,2022-05-18,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","307","Eschenmoser","Hans","Mitglied","SVP"
"e1e75d6b7d7b42f8bc69d7c15542c4da",2020-05-20,2022-08-24,"GFK Subkommission DJS","Ständige Kommission","307","Eschenmoser","Hans","Mitglied","SVP"
"bcfae1fa37cd4f68b8c5bf2383016b7a",2020-05-20,2024-05-22,"GFK Subkommission GVTG (DBU/DJS)","Ständige Kommission","307","Eschenmoser","Hans","Mitglied","SVP"
"83687f08b5c64f6e9ec317326b991a42",2022-05-18,2024-05-22,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","307","Eschenmoser","Hans","Vizepräsidium","SVP"
"ffedadec5680445080a3c634d50f1aa7",2022-08-24,2024-05-22,"GFK Subkommission DJS","Ständige Kommission","307","Eschenmoser","Hans","Präsidium","SVP"
"cb92911b35ff4793966bb368f479e0bd",2023-10-23,2024-08-15,"Kommission Parlamentarische Initiative \"Keine Discountbussen bei Littering\"","Spezialkommission","307","Eschenmoser","Hans","Mitglied","SVP"
"009f5415c45e4ff58237aed5d1462199",2024-05-22,9999-12-31,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","307","Eschenmoser","Hans","Präsidium","SVP"
"43f85b07fbbf4dd28b81ceb4257092c4",2024-11-29,9999-12-31,"GFK Subkommission Steuerverwaltung","Ständige Kommission","307","Eschenmoser","Hans","Präsidium","SVP"
"66655ed8818a415baef72462e8dd145e",2013-06-01,2021-05-26,"Geschäftsprüfungs- und Finanzkommission","Ständige Kommission","282","Feuerle","Didi","Mitglied","GRÜNE"
